"model","n_predictions","cv_auc","cv_accuracy"
"forward_step",2090,0.514370550124768,0.497129186602871
"lasso",2090,0.523449096861336,0.515311004784689
"enet",2090,0.521247682058561,0.50622009569378
"lda",2090,0.496542661569103,0.510526315789474
"random_forest",2090,0.526903230237403,0.521052631578947
"decision_tree",2090,0.51819830132094,0.514354066985646
