"miRNA","mean_control","mean_case","mean_diff","sd_control","sd_case","class_snr","p_value.x","estimate","odds_ratio","std_error","z_value","p_value.y","adj_p_value","n_models_selected","Annotation"
"MIMAT0000436",10.5512480280522,7.81117953837158,-2.74006848968057,49.1828108324696,20.2861445079199,0.0394430645495469,0.0961569471975748,-0.00255552196469946,0.997447740601778,0.00165110408091396,-1.54776551898828,0.121678761046462,0.155058864094128,6,"hsa-miR-144-3p"
"MIMAT0000437",1.53632835128124,1.19919654974689,-0.337131801534354,6.05386740969741,3.84200189878617,0.0340679318839969,0.128699273120915,-0.0138046522983445,0.986290194968065,0.0091634856906404,-1.50648484260139,0.131942755296324,0.155058864094128,6,"hsa-miR-145-5p"
"MIMAT0000450",12.5458699799314,15.3235756289294,2.77770564899799,24.9153218717267,28.602891423315,0.051902062456471,0.018017180596694,0.00489017013362992,1.00490214652984,0.00189007508440735,2.58728881935571,0.00967344715591469,0.155058864094128,6,"hsa-miR-149-5p"
"MIMAT0000687",4.564276762011,3.8807607127756,-0.683516049235407,8.34407036788675,5.80360058374192,0.0483129733206526,0.0298359464540495,-0.0146562211344469,0.985450658486963,0.00655036016723258,-2.23746798042694,0.0252557697931153,0.155058864094128,6,"hsa-miR-299-3p"
"MIMAT0002823",0.0113625776162679,0.0571622280933014,0.0457996504770335,0.243801869566825,0.632401842140411,0.0522705506323356,0.0291024343420103,0.301250984081638,1.35154851613563,0.165597080459996,1.81918052688382,0.0688838927176182,0.155058864094128,6,"hsa-miR-512-3p"
"MIMAT0003268",0.395121219008804,0.661966795450144,0.26684557644134,1.96498926215188,3.1691834072367,0.051974406321071,0.0208213771883791,0.044028667160418,1.04501231199464,0.019513621391285,2.25630426447044,0.0240515825104981,0.155058864094128,6,"hsa-miR-600"
"MIMAT0003271",8.52031916235646,6.61742830960373,-1.90289085275273,32.4729438960129,23.6361934703724,0.0339140992371189,0.125797669491682,-0.00247916018810943,0.997523910391499,0.00164831419230931,-1.50405802466342,0.132566426991997,0.155058864094128,6,"hsa-miR-603"
"MIMAT0003309",7.62465297303588,6.73280096620727,-0.891852006828612,11.7094718286729,9.658183281296,0.0417384126727377,0.0576542393450161,-0.00891475435347161,0.991124864251666,0.00446003160103732,-1.99880968363502,0.0456289496439665,0.155058864094128,6,"hsa-miR-639"
